107,content-type-builder,contenttypes,getcontenttype,f,,1,null,null
116,upload,upload,count,f,,2,null,null
123,upload,upload,getsettings,f,,1,null,null
137,users-permissions,auth,forgotpassword,f,,1,null,null
150,users-permissions,user,destroy,f,,2,null,null
162,users-permissions,userspermissions,createrole,f,,2,null,null
165,users-permissions,userspermissions,getadvancedsettings,f,,1,null,null
175,users-permissions,userspermissions,getrole,f,,1,null,null
185,users-permissions,userspermissions,updateadvancedsettings,f,,1,null,null
80,content-manager,contenttypes,findcontenttype,f,,2,null,null
90,content-type-builder,componentcategories,editcategory,f,,2,null,null
100,content-type-builder,components,updatecomponent,f,,2,null,null
110,content-type-builder,contenttypes,getcontenttypes,f,,2,null,null
120,upload,upload,find,f,,2,null,null
125,upload,upload,search,f,,1,null,null
136,users-permissions,auth,emailconfirmation,t,,2,null,null
151,users-permissions,user,destroyall,f,,1,null,null
159,users-permissions,user,update,f,,1,null,null
166,users-permissions,userspermissions,getadvancedsettings,f,,2,null,null
179,users-permissions,userspermissions,getroutes,f,,1,null,null
191,users-permissions,userspermissions,updaterole,f,,1,null,null
81,content-manager,contenttypes,listcontenttypes,f,,1,null,null
94,content-type-builder,components,deletecomponent,f,,2,null,null
106,content-type-builder,contenttypes,deletecontenttype,f,,2,null,null
111,content-type-builder,contenttypes,updatecontenttype,f,,1,null,null
124,upload,upload,getsettings,f,,2,null,null
139,users-permissions,auth,register,f,,1,null,null
149,users-permissions,user,destroy,f,,1,null,null
172,users-permissions,userspermissions,getpolicies,f,,2,null,null
180,users-permissions,userspermissions,getroutes,f,,2,null,null
156,users-permissions,user,findone,f,,2,null,null
82,content-manager,contenttypes,listcontenttypes,f,,2,null,null
93,content-type-builder,components,deletecomponent,f,,1,null,null
108,content-type-builder,contenttypes,getcontenttype,f,,2,null,null
113,email,email,send,f,,1,null,null
127,upload,upload,updatesettings,f,,1,null,null
134,users-permissions,auth,connect,t,,2,null,null
160,users-permissions,user,update,f,,2,null,null
173,users-permissions,userspermissions,getproviders,f,,1,null,null
182,users-permissions,userspermissions,index,f,,2,null,null
189,users-permissions,userspermissions,updateproviders,f,,1,null,null
148,users-permissions,user,create,t,,2,null,null
83,content-manager,contenttypes,updatecontenttype,f,,1,null,null
97,content-type-builder,components,getcomponents,f,,1,null,null
104,content-type-builder,contenttypes,createcontenttype,f,,2,null,null
119,upload,upload,find,f,,1,null,null
121,upload,upload,findone,f,,1,null,null
131,users-permissions,auth,callback,f,,1,null,null
141,users-permissions,auth,resetpassword,f,,1,null,null
161,users-permissions,userspermissions,createrole,f,,1,null,null
170,users-permissions,userspermissions,getpermissions,f,,2,null,null
183,users-permissions,userspermissions,searchusers,f,,1,null,null
192,users-permissions,userspermissions,updaterole,f,,2,null,null
147,users-permissions,user,create,f,,1,null,null
84,content-manager,contenttypes,updatecontenttype,f,,2,null,null
89,content-type-builder,componentcategories,editcategory,f,,1,null,null
99,content-type-builder,components,updatecomponent,f,,1,null,null
109,content-type-builder,contenttypes,getcontenttypes,f,,1,null,null
115,upload,upload,count,f,,1,null,null
128,upload,upload,updatesettings,f,,2,null,null
132,users-permissions,auth,callback,t,,2,null,null
142,users-permissions,auth,resetpassword,t,,2,null,null
152,users-permissions,user,destroyall,f,,2,null,null
158,users-permissions,user,me,t,,2,null,null
167,users-permissions,userspermissions,getemailtemplate,f,,1,null,null
181,users-permissions,userspermissions,index,f,,1,null,null
190,users-permissions,userspermissions,updateproviders,f,,2,null,null
168,users-permissions,userspermissions,getemailtemplate,f,,2,null,null
177,users-permissions,userspermissions,getroles,f,,1,null,null
188,users-permissions,userspermissions,updateemailtemplate,f,,2,null,null
155,users-permissions,user,findone,t,,1,null,null
174,users-permissions,userspermissions,getproviders,f,,2,null,null
176,users-permissions,userspermissions,getrole,f,,2,null,null
186,users-permissions,userspermissions,updateadvancedsettings,f,,2,null,null
